response,anchor,model,n,rmse,mae,scaled_mae,r2
frac_aromatic,linear90,nearest45,48,0.132843972584545,0.09676368556361,0.601394859591909,0.303819734389189
frac_aromatic,linear90,global_mean,48,0.159887478902736,0.138532632691199,0.860992558323477,-0.00847911567449411
frac_aromatic,linear90,depth_mean,48,0.144978059660464,0.114855414498417,0.713836554212671,0.170831937736006
frac_aromatic,linear90,trt_depth_mean,48,0.147304250403342,0.117022206250338,0.727303356493109,0.144010265323487
frac_aromatic,linear90,plot_depth_mean,48,0.130318111342819,0.100014223304984,0.62159723899887,0.330042035820623
frac_aromatic,linear90,calendar,48,0.174730365101887,0.150501074847489,0.935377484323267,-0.204411152862947
frac_aromatic,linear90,structure_calendar,48,0.152046240728251,0.12764540242427,0.793327459794127,0.0880114759428258
frac_aromatic,linear90,structure_calendar_climate,48,0.143022028935799,0.120759402787716,0.75053036333739,0.19305512230953
frac_aromatic,linear90,structure_calendar_climate_bgc,48,0.140607971617939,0.116440614038084,0.723688709481776,0.220065940704884
frac_lignin,linear90,linear90,48,0.0748082473803206,0.0588605335612833,0.350411897270779,0.79744095696173
frac_lignin,linear90,nearest45,48,0.081472291409919,0.0660641616844924,0.393296948512436,0.759744942626498
frac_lignin,linear90,global_mean,48,0.167283109162252,0.147477272625558,0.877970140233892,-0.0128773507606932
frac_lignin,linear90,depth_mean,48,0.136207615756321,0.113338411869139,0.674732720446242,0.328485402162455
frac_lignin,linear90,trt_depth_mean,48,0.127379379706711,0.10284993271203,0.612292106021621,0.4127122587673
frac_lignin,linear90,plot_depth_mean,48,0.104901921235693,0.0786218545434842,0.46805612437824,0.601691512636411
frac_lignin,linear90,calendar,48,0.200589725413336,0.172082011864588,1.02444848212023,-0.456364365520871
frac_lignin,linear90,structure_calendar,48,0.133839750826538,0.102606085256888,0.610840419395096,0.351629995164372
frac_lignin,linear90,structure_calendar_climate,48,0.144959897542149,0.123586778492435,0.735743883191763,0.239413832065645
frac_lignin,linear90,structure_calendar_climate_bgc,48,0.140268453303735,0.118057637399445,0.70282748397742,0.287848009222109
cue_wmean,nearest45,linear90,49,0.0194630095047539,0.0137553206803993,0.540787095811772,0.509232679563045
cue_wmean,nearest45,nearest45,118,0.0195327264373516,0.0139620970862174,0.548916460047104,0.405251874964577
cue_wmean,nearest45,global_mean,118,0.0255272093977228,0.0215376563754805,0.846747735840491,-0.0158136117348862
cue_wmean,nearest45,depth_mean,118,0.0226732674048341,0.0179438141861926,0.705456701955673,0.198625412464076
cue_wmean,nearest45,trt_depth_mean,118,0.0215011695989966,0.0175815101066142,0.691212804954049,0.27933817692343
cue_wmean,nearest45,plot_depth_mean,118,0.0182287845491929,0.0136919254602114,0.53829472810837,0.482008336747502
cue_wmean,nearest45,calendar,118,0.0307012376772532,0.0249850098716848,0.982279602291659,-0.469329215010558
cue_wmean,nearest45,structure_calendar,118,0.0228404368102821,0.0178348088350552,0.701171183018006,0.186764821548069
cue_wmean,nearest45,structure_calendar_climate,118,0.0228662437948752,0.0183232522462901,0.720374217245082,0.184926064751147
cue_wmean,nearest45,structure_calendar_climate_bgc,118,0.0237084819370818,0.0188693828869242,0.741845210902337,0.123776614401469
nosc_wmean,nearest45,linear90,49,0.194786232362709,0.137259867901043,0.539133337007659,0.51058638720715
nosc_wmean,nearest45,nearest45,118,0.194922636205638,0.139106766901608,0.546387641098995,0.408811579496474
nosc_wmean,nearest45,global_mean,118,0.255501932209951,0.215377870575606,0.845967520271432,-0.0157568131010373
nosc_wmean,nearest45,depth_mean,118,0.227211946749214,0.179639586740922,0.705593640292103,0.196726033777833
nosc_wmean,nearest45,trt_depth_mean,118,0.215387787779052,0.176279069426863,0.692394101772169,0.278155722658629
nosc_wmean,nearest45,plot_depth_mean,118,0.182398228281806,0.13689908447305,0.537716241272061,0.482342396503289
nosc_wmean,nearest45,calendar,118,0.308941502778865,0.251052347509363,0.986090777632904,-0.485093768930291
nosc_wmean,nearest45,structure_calendar,118,0.229690288584408,0.179179721251436,0.703787367127829,0.179106847093048
nosc_wmean,nearest45,structure_calendar_climate,118,0.228261716209117,0.182680655396291,0.717538438996268,0.189286279871697
nosc_wmean,nearest45,structure_calendar_climate_bgc,118,0.233637690438459,0.185512981031095,0.728663330738735,0.150649052918489
lambda_wmean,nearest45,linear90,49,0.00335765175637339,0.00261886787158726,0.682225470676139,0.332671508789896
lambda_wmean,nearest45,nearest45,118,0.00339313485188254,0.00262285314242471,0.683263649540505,0.211998454515317
lambda_wmean,nearest45,global_mean,118,0.00390918123081097,0.00309655327820783,0.806664414275582,-0.0459151148557193
lambda_wmean,nearest45,depth_mean,118,0.00368038893929514,0.00300054028382878,0.781652648316741,0.0729305646407098
lambda_wmean,nearest45,trt_depth_mean,118,0.00369161453937018,0.00308967560561608,0.804872753278872,0.0672666079127882
