scope,metric,metric_label,metric_order,n_short_pairs,n_long_pairs,short_scaled_semivar,long_scaled_semivar,short_rho_hat,long_rho_hat,long_minus_short_semivar,permutation_p_short_more_similar,depth_label,treatment_label
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,38,299,1.25182083311608,1.03126557671615,-0.251820833116085,-0.0312655767161478,-0.220555256399937,0.705294705294705,10-30 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,32,249,0.641065295300637,1.10602373898641,0.358934704699363,-0.106023738986411,0.464958443685774,0.037962037962038,10-30 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,51,393,0.750210358163001,1.02050689694736,0.249789641836999,-0.0205068969473632,0.270296538784362,0.122877122877123,0-10 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,49,383,0.245123435127218,1.17530381649438,0.754876564872782,-0.175303816494385,0.930180381367166,0.000999000999000999,0-10 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,38,299,0.600736406958895,1.10775648590515,0.399263593041105,-0.107756485905149,0.507020078946253,0.020979020979021,10-30 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,32,249,0.468230129240004,1.13597483802196,0.531769870759996,-0.13597483802196,0.667744708781956,0.00899100899100899,10-30 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,51,393,0.713951884081937,1.02408559270357,0.286048115918063,-0.0240855927035704,0.310133708621633,0.0779220779220779,0-10 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,49,383,0.637082362333733,1.07385433252875,0.362917637666267,-0.0738543325287515,0.436771970195018,0.025974025974026,0-10 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,38,299,0.598868712938689,1.05656914841441,0.401131287061311,-0.0565691484144115,0.457700435475722,0.017982017982018,10-30 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,32,249,1.06673291773694,1.01163092039756,-0.0667329177369433,-0.0116309203975582,-0.0551019973393851,0.56943056943057,10-30 cm,Warmed
overall,richness,"Formula richness
(detected formulae)",1,170,1324,0.723093288803766,1.06896262207034,0.276906711196234,-0.0689626220703403,0.345869333266574,0.01998001998002,,
overall,mean_nosc,"Mean NOSC
(formula-count mean)",2,170,1324,0.851534761503337,1.04530084812555,0.148465238496663,-0.0453008481255537,0.193766086622217,0.0629370629370629,,
