sample_num,sample_col,total_peak_area,formula_detected_n,delGcat_wmean,lambda_wmean,cue_wmean,nosc_wmean,ne_wmean,h_to_c_wmean,o_to_c_wmean,frac_CHO,frac_CHON,frac_CHOS,frac_CHOP,frac_N_containing,frac_P_containing,frac_S_containing,technical_rep,run_date_chr,run_date,tray_position,sample_name_raw,sample_is_extra,sample_date,depth,treatment_raw,plot,treatment
14,Sihi_60398_014_r1_Fir_09Oct24_300SA_p06_14_1_6147,51783983733.722,1815,-11629.8571833041,0.0430895912229095,0.531619562867904,-0.386547753076215,100.438893456519,1.20041380870518,0.3836573963509,0.624906549999183,0.10741852248976,0.212019627455774,0,0.147287738866497,0.0402306736633124,0.244440010312826,1,09Oct24,2024-10-09,14,14,FALSE,2017-05-31,0-10 cm,Warming treatment,2,warmed
14,Sihi_60398_014_r2_Fir_14Oct24_300SA_p06_14_1_6411,44850342102.0417,1636,-11736.8093862641,0.0428756961437838,0.533376876074991,-0.404021283484348,101.414228828854,1.19162956546952,0.372838890858453,0.627224575326794,0.0979257448055523,0.204088622849042,0.00808730047410124,0.144549441557881,0.0479549458503904,0.244769352901602,2,14Oct24,2024-10-14,14,14,FALSE,2017-05-31,0-10 cm,Warming treatment,2,warmed
15,Sihi_60398_015_r1_Fir_09Oct24_300SA_p06_15_1_6118,19012219562.0292,747,-13534.6907850277,0.0379897376598974,0.554864424675865,-0.622912122348497,117.761383967341,1.15751066804983,0.235970876590049,0.397291299348176,0.132345121674748,0.367598965201021,0.0291502620111922,0.202650223093643,0.057050302418785,0.420549615915874,1,09Oct24,2024-10-09,15,15,FALSE,2017-12-06,0-10 cm,Warming treatment,2,warmed
15,Sihi_60398_015_r2_Fir_14Oct24_300SA_p06_15_1_6378,14295375421.9561,779,-14872.9827073823,0.0374414958681824,0.555478836938397,-0.629972130404857,129.536984670669,1.16875848330828,0.238274089397271,0.381315056745239,0.153172684923986,0.301425307320223,0.0355546651310111,0.270191858084467,0.0753115698526651,0.405798751094221,2,14Oct24,2024-10-14,15,15,FALSE,2017-12-06,0-10 cm,Warming treatment,2,warmed
16,Sihi_60398_016_r1_Fir_09Oct24_300SA_p06_16_1_6199,33349901990.7637,1232,-14143.2462831337,0.0341914724858369,0.555556778690966,-0.622610868621564,122.9545809563,1.14256249347309,0.255635531199701,0.438474985707771,0.0285630117361149,0.418649823784416,0.0901244011056527,0.047641565815989,0.099955964047099,0.439135106971779,1,09Oct24,2024-10-09,16,16,FALSE,2018-05-09,0-10 cm,Warming treatment,2,warmed
16,Sihi_60398_016_r2_Fir_14Oct24_300SA_p06_16_1_6442,37238554590.5889,1374,-14133.4000740781,0.0347535217067515,0.549391057561629,-0.561774172098185,122.708096520078,1.15299682379682,0.28196175443347,0.45639297740417,0.0665408018979026,0.359000049332197,0.0580814914315565,0.0988263378254956,0.0903074241856247,0.4158464786225,2,14Oct24,2024-10-14,16,16,FALSE,2018-05-09,0-10 cm,Warming treatment,2,warmed
16,Sihi_60398_016_r2_Fir_24Oct24_300SA_p06_16_1_6532,33140032470.0139,1394,-14214.1669010179,0.0344281130384879,0.552089359571071,-0.588672282175983,123.492790689416,1.11689239578129,0.255151835720628,0.432890057854044,0.0524860016930831,0.39139337398184,0.0805914409449565,0.0880159521649579,0.0943532693297852,0.427982358840128,2,24Oct24,2024-10-24,16,16,FALSE,2018-05-09,0-10 cm,Warming treatment,2,warmed
17,Sihi_60398_017_r1_Fir_09Oct24_300SA_p06_17_1_6171,35092733005.8637,1524,-14928.9555945128,0.032930943648515,0.556361168560169,-0.637020112187913,129.948658431142,1.0719653520263,0.191136725694904,0.272201388511663,0.154659878520623,0.472588333579298,0.0647946144167243,0.182177519882046,0.0805126686650636,0.503680775907683,1,09Oct24,2024-10-09,17,17,FALSE,2018-05-22,0-10 cm,Warming treatment,2,warmed
17,Sihi_60398_017_r2_Fir_14Oct24_300SA_p06_17_1_6270,34725745260.4969,1564,-14868.2719256,0.033152337139563,0.556149031904144,-0.635115302456365,129.430468903737,1.06878613885726,0.189821989486931,0.27589167757674,0.159122048757161,0.458363112626417,0.0637282135283955,0.191367451985214,0.0840979824751177,0.493112665584824,2,14Oct24,2024-10-14,17,17,FALSE,2018-05-22,0-10 cm,Warming treatment,2,warmed
18,Sihi_60398_018_r1_Fir_08Oct24_300SA_p03_18_1_6015,21315114752.1521,787,-15085.614556835,0.030426478336737,0.572333130760981,-0.791500504904899,131.82328616,1.1811859956461,0.191831528635058,0.294708878570641,0.0345827651289375,0.504271554364089,0.126161595231543,0.0676935157537202,0.143060360398216,0.53849252743705,1,08Oct24,2024-10-08,18,18,FALSE,2018-10-10,0-10 cm,Warming treatment,2,warmed
