scope,metric,metric_label,metric_order,lag_bin,n_pairs,median_lag_days,mean_scaled_semivar,rho_hat,median_abs_raw_change,depth_label,treatment_label
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,181-365 d,121,267,0.850261714976167,0.149738285023833,5.2669039145908,10-30 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,>365 d,427,911,1.19717858651286,-0.19717858651286,7.799043062201,10-30 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,00-45 d,55,27,0.69789767929602,0.30210232070398,4.8179965566916,0-10 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,46-90 d,45,70,0.649871321805569,0.350128678194431,5.0490799644298,0-10 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,91-180 d,72,135,0.925271817589628,0.0747281824103725,7.28432453000765,0-10 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,181-365 d,133,267,0.914226536302453,0.085773463697547,5.9887197608045,0-10 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,>365 d,643,954,1.0764536826793,-0.0764536826792983,7.72511466967085,0-10 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,00-45 d,30,28,0.788075320414918,0.211924679585082,8.0091772027256,10-30 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,46-90 d,40,70,0.831255121170121,0.168744878829879,9.51246930014214,10-30 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,91-180 d,66,138,0.898443348270405,0.101556651729596,7.97078367603275,10-30 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,181-365 d,121,267,0.838514266505833,0.161485733494167,9.0772385509227,10-30 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,>365 d,427,911,1.09215467987751,-0.0921546798775066,11.1127487103905,10-30 cm,
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,00-45 d,28,27,0.742720202151621,0.257279797848379,177.5,0-10 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,46-90 d,23,70,1.92943765968642,-0.929437659686424,283,0-10 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,91-180 d,36,135,1.02628979930715,-0.0262897993071494,263,0-10 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,181-365 d,67,267,1.12696420007694,-0.126964200076943,282,0-10 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,>365 d,326,954,0.927526791370412,0.0724732086295881,207,0-10 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,00-45 d,27,27,0.540623987974333,0.459376012025667,420,0-10 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,46-90 d,22,70.5,0.740806391305371,0.259193608694629,324,0-10 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,91-180 d,36,135,0.690297191966001,0.309702808033999,405.5,0-10 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,181-365 d,66,267,0.520077499579216,0.479922500420784,334.5,0-10 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,>365 d,317,938,1.19220693322704,-0.192206933227036,656,0-10 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,00-45 d,17,28,0.1241905780492,0.8758094219508,50,10-30 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,46-90 d,21,70,0.313406091063686,0.686593908936314,76,10-30 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,91-180 d,35,126,0.432564539741381,0.567435460258619,110,10-30 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,181-365 d,62,266.5,0.714173289746625,0.285826710253375,101.5,10-30 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,>365 d,237,925,1.28223092576197,-0.282230925761971,129,10-30 cm,Control
